MAHALLE,ADRES,PARKLARIMIZ,ENLEM,BOYLAM,UHDE,TOPLAM ALAN,BASKETBOL SAHASI,ÇOK AMACLI SAHA,FUTBOL SAHASI,HALI SAHA,TENIS KORTU,COCUK OYUN GRUBU SAYISI,FITNESS GRUBU SAYISI
AYDINLI,GÜRPINAR CAD.,ŞHT.PİYADE .ÇAVUŞ ÖMER ÖNER PARKI,40.86829783456918,29.33152336390373,Tuzla,4093,0,1,0,0,0,1,1
AYDINLI,İNAL SOKAK,RADİSSON OTEL YANI PARKI,40.87646620479649,29.314689058524845,Tuzla,333,0,1,0,0,0,1,1
AYDINLI,KARDEŞLER SOK,KADEŞLER PARKI,40.8790984237853,29.321908323892004,Tuzla,2056,0,1,0,0,0,1,1
AYDINLI,KOVAN SOKAK,KOVAN SOKAK SAHA ,40.86746645349166,29.3379082465654,Tuzla,1000,0,1,0,0,0,0,0
AYDINLI,MOR SOK.,MOR SOKAK PARKI 2018,40.87687005061282,29.327817190257367,Tuzla,150,0,0,0,0,0,1,0
AYDINLI ,NAZİK SOK.,NAZİK SOKAK PARKI 2018,40.864670644662795,29.3275407530119,Tuzla,415,0,0,0,0,0,1,1
AYDINLI ,OKAN SOK.,OKAN SOKAK PARKI,40.86216139972024,29.336718959396663,Tuzla,4882,1,0,0,1,0,1,1
AYDINLI ,ÖZYURT SOKAK,AYDINLI PARKI,40.864600778946034,29.323683814306992,Tuzla,450,0,0,0,0,0,1,1
AYDINLI ,SEDEF SOKAK,SEDEF PARKI,40.87572425905213,29.334262278639493,Tuzla,1528,0,0,0,0,0,1,1
AYDINTEPE,BERKANT SOK.,BERKANT SOKAK PARKI,40.85392101224729,29.299145912207006,Tuzla,593,0,0,0,0,0,0,1
AYDINTEPE,BİLGİLİ SOK.,BİLGİLİ SOKAK PARKI ,40.856511410407016,29.29339849042643,Tuzla,430,0,0,0,0,0,1,1
AYDINTEPE,EVORA C-D,AYDINTEPE (EVORA) PARKI,40.85866885416139,29.30069271029459,Tuzla,38000,2,0,0,0,0,2,1
AYDINTEPE,GONCA SOK.,AYDINTEPE GONCA SOKAK PARKI,40.85545959480895,29.296296466094475,Tuzla,210,0,0,0,0,0,0,0
AYDINTEPE,MARMARA CAD.,ŞHT.J.ER KAMBER KÜTÜK PARKI,40.856254838697055,29.294791590522745,Tuzla,600,1,0,0,0,0,1,1
AYDINTEPE,YEŞİLDERE CAD.,FATİH SULTAN MEHMET PARKI,40.85606876613372,29.30065047868328,Tuzla,11289,0,0,0,1,0,2,1
AYDINTEPE,YEŞİLDERE CAD.,AYDINTEPE DİNLENME ALANI ,40.85595356490906,29.29773949183044,Tuzla,400,0,0,0,0,0,1,0
CAMİ,DEMET SOK,OVA PARKI,40.817598253029104,29.30719398452377,Tuzla,900,0,0,0,0,0,1,1
CAMİ,ERHAN SOK,ÇINAR PARKI,40.82158121757359,29.3134575595357,Tuzla,2400,1,0,0,0,0,1,0
CAMİ,ERHAN SOK,FİLİZ PARKI,40.82198690251644,29.31507253129518,Tuzla,1464,1,0,0,0,1,0,1
CAMİ,İSTASYON CAD.,OKUL DİNLENME ALANI,40.8202595250759,29.307765579715955,Tuzla,190,0,0,0,0,0,0,0
CAMİ,ŞAHİDE SOK.,MARMADOS EVLERİ YANI PARKI ,40.81980442868127,29.316621800502638,Tuzla,700,0,0,0,0,0,1,0
CAMİ,ŞEHİTLER CADDESİ,SAHİL PARKI,40.81418994791446,29.30529764408572,İBB,181700,1,0,0,2,2,2,2
E.ÇELEBİ,BAHA SOK,ONUR PARKI ,40.83810838154738,29.299518078124002,Tuzla,2000,1,0,0,0,0,2,1
E.ÇELEBİ,CİHAT SOK.,EVLİYA ÇELEBİ PARKI ,40.840824236997875,29.30427400188605,Tuzla,3450,1,0,0,1,0,1,1
E.ÇELEBİ,DORUK SOK.,DORUK SOKAK DİNLENME ALANI,40.83729828071951,29.30096846829295,Tuzla,1200,0,0,0,0,0,0,1
E.ÇELEBİ,GÜLAĞACI SOK.,HUZUR PARKI,40.84206895987184,29.2994789569686,Tuzla,1200,0,0,0,0,0,1,1
E.ÇELEBİ,GÜNDOĞDU SOK.,GÜNDOĞDU SOKAK DİNLENME ALANI ,40.841904773189356,29.299890682748785,Tuzla,595,0,0,0,0,0,0,0
E.ÇELEBİ,HATBOYU CAD.,MERDEKAN PARKI,40.841063251682755,29.303236112737935,Tuzla,4500,0,0,0,0,0,1,1
E.ÇELEBİ,HATBOYU CAD.,BELEDİYE PARKI,40.84346339863317,29.301366037386146,Tuzla,1300,0,0,0,0,0,0,0
E.ÇELEBİ,HATBOYU CAD.,KIR LOKANTASI,40.842616186990604,29.302134833477382,Tuzla,3900,0,0,0,0,0,0,0
E.ÇELEBİ,RAUF ORBAY CAD.,TERSANE MEYDAN,40.84195419450828,29.292695023226763,Tuzla,7450,0,0,0,0,0,0,0
E.ÇELEBİ,SADE SOK.,DERE KENARI DİNLENME ALANI,40.839604887137625,29.298073736926387,Tuzla,1463,0,0,0,0,0,0,0
E.ÇELEBİ,ŞENER SOK.,ŞENER SOKAK PARKI 2018,40.83660266268247,29.299739103295117,Tuzla,2369,0,0,0,1,0,1,1
E.ÇELEBİ,ŞENER SOK.,ŞENER SOKAK DİNLENME ALANI,40.837823927522145,29.29956796535495,Tuzla,3000,0,0,0,0,0,0,0
E.ÇELEBİ,SERGEN SOK,DURAVİT PARKI,40.83721959017678,29.29736325486697,Tuzla,4937,0,0,0,0,0,1,1
E.ÇELEBİ,VEYSEL KARANİ SOK.,VEYSEL KARANİ PARKI,40.83864119953005,29.304687648901574,Tuzla,1386,1,0,0,0,0,1,1
E.ÇELEBİ,SEFA SOKAK,HZ.ÖMER CAMİ YANI PARKI,40.843125544502534,29.29706145890465,Tuzla,212,0,0,0,0,0,1,0
FATİH,AVŞAR SOK.,OKUL PARKI,40.92770006706208,29.341319193454343,Tuzla,937,0,1,0,0,0,1,1
İÇMELER,29 EKİM CAD.,HASAN COŞAR PARKI,40.85097875930075,29.312078771898676,Tuzla,450,0,0,0,0,0,1,1
İÇMELER,ANKARA CAD.,İÇMELER MEYDAN ,40.84900057276441,29.305544195829235,Tuzla,4990,0,0,0,0,0,1,0
İÇMELER,AYSUN SOK.,CUMHURİYET PARKI,40.846950279597806,29.304719639720012,Tuzla,2210,0,1,0,0,0,1,1
İÇMELER,DAL SOK.,ŞEHİT FERDİ BOLAT PARKI 2018,40.84633563749788,29.30700773580772,Tuzla,1012,1,0,0,0,0,1,1
İÇMELER,GÖKTÜRK CADDESİ,GÖKTÜRK CADDESİ PARKI,40.849589909066665,29.309179309052954,Tuzla,880,1,0,0,0,0,1,1
İSTASYON,AYHAN SOK.,GALATASARAYLILAR PARKI,40.823225863963415,29.319733950459586,Tuzla,3750,1,0,0,1,0,2,1
İSTASYON,ÇİÇEKÇİLER CAD.,ÇİÇEKÇİLER PARKI,40.8278477180896,29.31686263400843,İBB,4839,0,0,0,0,0,1,1
İSTASYON,HATBOYU CAD.,UĞURKENT PARKI ,40.83213341489249,29.31607371394307,Tuzla,3890,0,0,0,0,0,1,1
İSTASYON,HATBOYU CAD.,ÇINARLI BAHÇE YANI PARKI,40.83168192762027,29.315516992234045,Tuzla,11322,0,0,0,0,0,0,0
İSTASYON,KAZIM KARABEKİR CAD.,BORSA KENT PARKI,40.827586553919446,29.31335968167676,Tuzla,1451,1,0,0,0,0,1,1
İSTASYON,KAZIM KARABEKİR CD.,KAZIM KARABEKİR PARKI,40.832441486795354,29.314854045447905,İBB,2940,1,0,0,0,0,1,0
İSTASYON,LEYLA SOK.,EKSEN PARKI,40.82681894777775,29.320239674681616,Tuzla,365,0,0,0,0,0,1,0
İSTASYON,LEYLA SOK.,LEYLA SOKAK DİNLENME ALANI,40.82701068403998,29.321504086060717,Tuzla,648,0,0,0,0,0,0,0
İSTASYON,ÖZDİNÇ SOK,MİRAY PARKI,40.829656433208534,29.317165348803176,İBB,3558,0,0,0,0,0,1,0
İSTASYON,PAPTYA SOK.,AKŞEMSEDDİN PARKI,40.825158521244866,29.31440625278038,Tuzla,3500,0,1,0,0,0,1,1
İSTASYON,SARIÇAM SOK.,YUNUS EMRE PARKI,40.827312265758735,29.323414669842045,Tuzla,340,0,0,0,0,0,1,1
İSTASYON,SARIÇAM SOK.,HACIOĞLU PİKNİK ALANI PARKI,40.82774584384396,29.32288655951696,İBB,5800,0,0,0,0,0,0,1
İSTASYON,SARRAF SOK,TIP KENT PARKI,40.824165274015726,29.32244274472155,Tuzla,400,0,0,0,0,0,1,1
